HEXID,classe,area M2
6690,0,3428985.398376
6690,1,101449.272141
6691,0,2942029.150632
6691,1,527536.261493
6691,2,60869.568634
6692,0,2657970.930091
6692,1,811594.177127
6692,2,60869.563285
6693,0,718540.613817
6872,0,237219.050472
6873,0,3428985.398344
6873,1,101449.272140
6874,0,3530434.670485
6875,0,3408695.843474
6875,1,121739.137267
6876,0,3388405.689503
6876,1,142028.980997
6877,0,3246376.708506
6877,1,284057.961994
6878,0,3388405.689503
6878,1,142028.980997
6879,0,3530434.670485
6880,0,1441423.057958
6880,1,50049.411735
6890,0,2036004.461518
6890,1,68191.536989
6897,0,777865.277804
6898,0,2829885.302452
6898,1,9999.594708
6899,0,347468.122748
6911,0,327921.388008
6912,0,313199.936831
6915,0,627689.524011
6916,0,1889774.555454
6917,0,29272.306507
6918,0,680014.324719
6918,1,20000.421315
6921,0,932415.829691
6921,1,29444.710411
6922,0,3337681.053418
6922,1,192753.617067
6923,0,1011675.374716
6928,0,2561211.192961
6929,0,3256521.635706
6929,1,263768.107565
6929,2,10144.927214
6932,0,3378260.762288
6932,1,152173.908211
6933,0,3388405.689503
6933,1,142028.980997
6934,0,3510145.124530
6934,1,20289.856211
6935,0,3489854.961629
6935,1,40579.708856
6936,0,3408695.543916
6936,1,121739.126568
6937,0,3276811.490134
6937,1,253623.180351
6938,0,3418840.771579
6938,1,111594.209161
6939,0,3378260.762289
6939,1,152173.908211
6940,0,3479710.034430
6940,1,50724.636070
6941,0,3469565.107216
6941,1,60869.563284
6942,0,3530434.980741
6943,0,2617391.221221
6943,1,811594.177123
6943,2,101449.272140
6944,0,1089762.655831
7123,0,1662969.396231
7123,1,240429.310298
7123,2,80143.103433
7124,0,3489854.961629
7124,1,40579.708856
